strike,price
155,174
165,290.75
190,159.08
195,260.75
200,256.05
210,201.5
220,237.75
225,185.05
230,209.55
235,215.25
240,215.78
245,199.95
250,201.57
255,197.8
260,191.6
265,187.75
270,181.45
275,173.05
280,175.35
285,166.71
290,164.35
295,158.89
300,154.71
305,140.96
310,143.13
315,130.65
320,130.6
325,129.61
330,123.16
335,115.18
340,114.5
345,113.6
350,107.15
355,97.81
360,93.45
365,95
370,87.93
375,81.35
380,77.23
385,77.6
390,68.94
395,70.67
400,61.25
405,60.4
410,55.25
415,54.25
420,49.05
430,42.41
440,37.9
450,32.55
460,28.75
470,24.65
480,21.48
490,18.64
500,16
520,12.41
540,9.51
560,7.65
