Strike,Call,Put,IV call,IV put,arbitrage(reverse conversion),delta_call,delta_put,gamma_call,gamma_put,vega_call,vega_put,vegaC-vegaP,Conversion profit
2500,406.82,10.73,0.17062899,0.17063148,0.072838989,0.91620336,-0.074026184,0.000450826,0.000450832,254.1465939,254.1537277,-0.007133843,-0.072838989
2520,389.14,12.86,0.171322182,0.171344596,0.619197039,0.904422409,-0.085830064,0.000501994,0.00050204,284.1414079,284.2048947,-0.063486783,-0.619197039
2540,370.39,13.91,0.167559021,0.167564002,0.16555509,0.896825321,-0.093407486,0.00054664,0.00054665,302.6160876,302.6303915,-0.014303952,-0.16555509
2560,354.36,17.69,0.171651759,0.171672513,0.71191314,0.878739901,-0.11151222,0.000606796,0.000606821,344.1232207,344.178994,-0.055773305,-0.71191314
2580,335.09,18.22,0.16540307,0.165413862,0.258271191,0.872320349,-0.117920303,0.000655261,0.000655273,358.0805946,358.1102482,-0.029653656,-0.258271191
2600,319.47,22.4,0.168517867,0.168506245,-0.195370759,0.852989663,-0.137222347,0.00071461,0.000714607,397.8671497,397.8378946,0.029255166,0.195370759
2620,301.22,23.95,0.164124608,0.164108004,-0.649012708,0.842163627,-0.148041387,0.000772292,0.000772294,418.7723852,418.7312196,0.04116563,0.649012708
2640,282.38,24.92,0.158065612,0.158063537,-0.102654657,0.832559128,-0.157664859,0.000835924,0.000835925,436.5429331,436.5377946,0.005138536,0.102654657
2660,264.64,26.98,0.154209472,0.154197435,-0.556296607,0.818839718,-0.171370375,0.000904285,0.0009043,460.7222779,460.6936326,0.028645274,0.556296607
2680,248.01,30.16,0.152210008,0.152208348,-0.009938556,0.801214416,-0.189010115,0.000974011,0.000974014,489.8123697,489.8087279,0.003641798,0.009938556
2700,232.3,34.25,0.15133999,0.151330858,-0.463580506,0.780661543,-0.209553066,0.001042172,0.001042199,521.0935386,521.0757636,0.017774945,0.463580506
2720,219.94,41.7,0.155733249,0.15573491,0.082777545,0.75225836,-0.237970457,0.001088273,0.001088266,559.9405355,559.943094,-0.002558495,-0.082777545
2740,203.18,44.74,0.151317575,0.151311349,-0.370864405,0.733559378,-0.256660172,0.001165944,0.001165975,582.8944663,582.8859316,0.008534655,0.370864405
2760,185.46,46.83,0.144834778,0.144831457,0.175493646,0.715493553,-0.274729467,0.001260539,0.00126056,603.1870983,603.1830181,0.004080239,-0.175493646
2780,168.64,49.82,0.139402145,0.139408787,0.721851697,0.694174203,-0.296059823,0.001356673,0.001356623,624.8379921,624.8448986,-0.006906494,-0.721851697
2800,156.89,57.87,0.141272518,0.141276669,0.268209747,0.663690129,-0.3265404,0.001396129,0.001396094,651.6374237,651.6403931,-0.002969408,-0.268209747
2820,145.87,66.66,0.143211795,0.143224248,0.814567798,0.633028864,-0.357206556,0.001424141,0.001424028,673.8362687,673.8418405,-0.005571803,-0.814567798
2840,137.2,77.79,0.147568943,0.147573924,0.360925848,0.60136219,-0.388866941,0.001419187,0.001419142,691.9223716,691.9235149,-0.001143247,-0.360925848
2860,117.19,78.58,0.134791381,0.136212632,99.9072839,0.57616832,-0.41454965,0.001578334,0.001562274,702.8842773,703.0681873,-0.183910015,-99.9072839
2880,106.6,86.8,0.134721647,0.134727043,0.453641949,0.544042808,-0.446184637,0.001600839,0.001600775,712.5375393,712.5376801,-0.000140812,-0.453641949
2900,98.6,98.6,0.137359927,0.137359927,0,0.512113612,-0.478113209,0.001580778,0.001580778,717.3873979,717.3873979,0,0
2920,83.45,103.25,0.129131075,0.129124641,-0.453641949,0.477560003,-0.512669283,0.00168141,0.001681493,717.3434078,717.3432086,0.000199212,0.453641949
2940,78.15,117.76,0.133741631,0.133742876,0.092716101,0.447230965,-0.542995106,0.001613098,0.001613084,712.7713062,712.7714718,-0.000165574,-0.092716101
2960,64.53,123.94,0.125709321,0.12570102,-0.360925848,0.408702817,-0.581531625,0.001687357,0.001687461,700.8051941,700.8021393,0.003054792,0.360925848
2980,57.96,137.18,0.12670428,0.126703865,0.185432202,0.377239473,-0.612987821,0.001638371,0.001638375,685.8453351,685.8450749,0.000260275,-0.185432202
3000,50.9,149.92,0.126084558,0.126079577,-0.268209747,0.345057297,-0.645176301,0.001597837,0.001597889,665.60583,665.6010317,0.004798288,0.268209747
3020,45.17,164,0.126563981,0.126567717,0.278148303,0.315542072,-0.674679002,0.001536587,0.001536553,642.5248844,642.5298089,-0.004924583,-0.278148303
3040,42.2,180.83,0.130622267,0.130620607,-0.175493646,0.293452709,-0.696776796,0.001442047,0.001442059,622.3279704,622.3253604,0.002610053,0.175493646
3060,35.41,193.84,0.127703805,0.127692598,-0.629135595,0.261462555,-0.728784468,0.001394727,0.001394794,588.4583137,588.4351453,0.023168364,0.629135595
3080,29.19,207.43,0.124555385,0.124555385,-0.082777545,0.229717908,-0.760508913,0.001334489,0.001334489,549.1615381,549.1615381,0,0.082777545
3100,23.69,221.74,0.121430625,0.121442248,0.463580506,0.198996556,-0.791205937,0.001259632,0.001259604,505.3529217,505.3899856,-0.037063912,-0.463580506
3120,21.39,239.24,0.123664613,0.123664613,0.009938556,0.181042853,-0.809183967,0.001167301,0.001167301,476.9259617,476.9259617,0,-0.009938556
3140,15.56,253.22,0.117135326,0.117150269,0.556296607,0.146267818,-0.843926362,0.00107331,0.001073334,415.3707027,415.4327754,-0.062072751,-0.556296607
3160,12.28,269.74,0.114842396,0.114848623,0.102654657,0.122458496,-0.867754846,0.000969222,0.000969244,367.7462695,367.774611,-0.028341559,-0.102654657
3180,8.97,286.23,0.11080777,0.110798223,-0.350987292,0.097152566,-0.893094363,0.000850882,0.000850826,311.5031062,311.4558674,0.047238832,0.350987292
3200,7.34,304.41,0.110628453,0.110635095,0.195370759,0.082212631,-0.908000972,0.000752871,0.000752917,275.1757947,275.2090693,-0.033274525,-0.195370759
3220,5.43,322.3,0.108151226,0.108141264,-0.258271191,0.06485321,-0.925391968,0.000642449,0.000642367,229.5580696,229.5076763,0.050393258,0.258271191
3240,4.01,340.69,0.106172101,0.106185384,0.28808686,0.05076772,-0.939436951,0.000539871,0.000539991,189.375189,189.4409158,-0.065726834,-0.28808686
3260,3.4,359.88,0.107337659,0.107327697,-0.16555509,0.043602617,-0.94663938,0.000472735,0.000472647,167.6459482,167.598895,0.047053203,0.16555509
3280,2.14,378.43,0.103019115,0.103047341,0.380802961,0.030121267,-0.960069333,0.000363974,0.000364236,123.882642,124.0060479,-0.123405951,-0.380802961
3300,1.25,398.34,0.098536197,0.108081492,99.92716101,0.01944673,-0.960025796,0.000263582,0.000347686,85.8092045,124.1543329,-38.34512837,-99.92716101
